last_updated,location,experience_level,tech_abilities,tech_stack,full_link
2024-04-22,"Account Associate, EDU AccountsSan Francisco, CA — Sales, ChatGPT Enterprise",2-7 years,"Comprehensive discovery call, customer communication, administration skills","AI landscape, customer problems, education sector",https://openai.com/careers/account-associate-edu-accounts
2024-04-22,"Account DirectorTokyo, Japan — Go To Market",7+ years,"Communicating technical concepts to customers and internal stakeholders, Leading high-visibility customer events, Gathering, distilling, and processing complex market intelligence","Platform-as-a-service, Software-as-a-service, Japanese language proficiency",https://openai.com/careers/account-director
2024-04-22,"Account Director, ChatGPT EnterpriseRemote - New York City — Sales, ChatGPT Enterprise",6 years,"Selling platform-as-a-service and/or software-as-a-service, Achieving revenue targets, Designing and executing complex deal strategies, Leading high-visibility customer events, Reporting on customer success activities",Not specified,https://openai.com/careers/account-director-chatgpt-enterprise
2024-04-22,"Account Director, ChatGPT EnterpriseSan Francisco, CA — Sales, ChatGPT Enterprise",5 years,"Model Valuation, model design, oop programming",NA,https://openai.com/careers/account-director-chatgpt-enterprise-2
2024-04-22,"Account Director, ChatGPT Enterprise - MajorsLondon, UK — Sales, ChatGPT Enterprise",10+ years,"platform-as-a-service and/or software-as-a-service, complex deal strategies, high-visibility customer events, market intelligence",not specified,https://openai.com/careers/account-director-chatgpt-enterprise-majors
2024-04-22,"Account Director, ChatGPT Enterprise - MajorsDublin, Ireland — Sales, ChatGPT Enterprise",10+ years,"Sales platform-as-a-service and/or software-as-a-service, complex deal strategies, growth of fast-growing companies, leading customer events, market intelligence",Not specified,https://openai.com/careers/account-director-chatgpt-enterprise-majors-2
2024-04-22,"Account Director, Platform MajorsSan Francisco, CA — Sales, Platform",7+ years,"Communicating technical concepts to customers, Leading high-visibility customer events, Gathering and processing complex market intelligence","Platform-as-a-service, Software-as-a-service, Market research tools",https://openai.com/careers/account-director-platform-majors-2
2024-04-22,"Account Director, Platform StartupsSan Francisco, CA — Sales, Platform",7-12 years,"selling platform-as-a-service and/or software-as-a-service, designing and executing complex deal strategies, working in or around the startup ecosystem, supporting the growth of fast-growing companies, communicating technical concepts to customers and internal stakeholders, leading high-visibility customer events, gathering and processing complex market intelligence",not specified,https://openai.com/careers/account-director-platform-startups
2024-04-22,"Account Director, Platform StrategicsSan Francisco, CA — Sales, Platform",10+ years,"Communicating technical concepts to customers and internal stakeholders, Leading high-visibility customer events, Designing and executing complex deal strategies","Platform-as-a-service, Software-as-a-service",https://openai.com/careers/account-director-platform-strategics
2024-04-22,"Account EngineerSan Francisco, CA — Technical Success",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/account-engineer
2024-04-22,"AI EngineerSan Francisco, CA — Technical Success",7+ years,"Build and train bespoke models, identify gaps in API product, scale model customization program, collaborate with different teams","ML, data science, AI technologies",https://openai.com/careers/ai-engineer
2024-04-22,"Analytics Data Engineer, Applied EngineeringSan Francisco, CA — Applied AI Engineering",3+ years of experience as a data engineer and 8+ years of any software engineering experience,"Proficiency in at least one programming language commonly used within Data Engineering, such as Python, Scala, or Java","Hadoop, Flink, HDFS, S3, Airflow, Dagster, Prefect, Spark",https://openai.com/careers/analytics-data-engineer-applied-engineering
